"node","M","N","kingdom","phylum","class","order","family","genus","species"
"Nostoc sp.",7.97e-13,2e+06,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Nostoc",""
"Arthrodesmus sp.",1.52e-12,4.9e+07,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Arthrodesmus",""
"Asterionella formosa",1.12e-12,5e+06,"Chromista","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Asterionella","formosa"
"Cryptomonas sp. 1",2.03e-13,6.4e+07,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas",""
"Cryptomonas sp. 2",1.51e-12,2.8e+07,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas",""
"Chroococcus dispersus",2.39e-13,2e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","dispersus"
"Closteriopsis longissimus",2.37e-13,1e+08,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Closteriopsis","longissimus"
"Chrysosphaerella longispina",8.31e-10,4e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Paraphysomonadaceae","Chrysosphaerella","longispina"
"Dinobryon bavaricum",2.44e-12,3e+07,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","bavaricum"
"Dinobryon cylindricum",1.57e-12,3e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","cylindricum"
"Dactylococcopsis fascicularis",1.32e-13,4.6e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Dactylococcopsis","fascicularis"
"Diceras sp.",1.53e-13,1.4e+07,"Chromista","Ochrophyta","Chrysophyceae","Hibberdiales","Stylococcaceae","Diceras",""
"Dictyosphaerium pulchellum",5.07e-13,1.3e+07,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Dictyosphaerium","pulchellum"
