Name,UFCO_2,HANF_1,FICO_1,WOCA_1,SCHO_1,EGSH_2,EGWA_2,EGSH_1,TWCA_2,SWCA_1,HOSP_2,HANF_2,TWCA_1,SCHO_2,HOSP_1,UFCO_1,NURH_1,EGWA_1,RWCO_1,RWCO_2,WOCA_2,NURH_2,RFSC_2,SWCA_2,RFSC_1,FICO_2
Abiotrophia defectiva ATCC 49176,0,0,0,0,0.005289338,0,0,0,0,0,0,0,0,0.011479346,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacter pasteurianus subsp pasteurianus LMG 1262 NBRC 106471,0.00027843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287584,0,0,0.000174607,0.000191657,0,0,0,0,0,0
Acetobacterium dehalogenans DSM 11527,0.002563414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002633033,0,0,0,0,0,0,0,0,0,0
Acidaminococcus fermentans DSM 20731,0.000648639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000580913,0,0,0,0,0,0,0,0,0,0
Acidaminococcus intestini RyC MR95,0.000506537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000482066,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii TG27391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99E-05,0,0,0,0,0,0,0,0,0
Acinetobacter bohemicus ANC 3994,0.009609348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009839698,0,0,0,0,0,0,0,0,0,0
Acinetobacter bouvetii DSM 14964 CIP 107468,0.000901495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000902122,0,0,0,0,0,0,0,0,0,0
Acinetobacter harbinensis strain HITLi 7,0.022014135,0,0.001000776,0,0,0,0,0,0,0,0,0,0,0,0,0.022482411,0,0,0,0,0,0,0,0,0,0.001312122
Acinetobacter johnsonii SH046,0.000824772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000873228,0,0,0,0,0,0,0,0,0,0
Acinetobacter lwoffii NCTC 5866 CIP 64 10,0.023499302,0,0.001216374,0,0,0,0,0,5.20E-05,0,0,0,6.38E-05,0,0,0.023181095,0,0,9.56E-05,0.000113511,0,0,0.00018499,0,0.000275638,0.001748657
Acinetobacter nectaris CIP 110549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412884,0,0,0,0,0.000280885,0,0,0,0
Acinetobacter parvus NIPH 1103,0.000226663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter pittii D499,1.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32E-05,0,0,0,0,0,0,0,0,0,0
Acinetobacter rudis strain DSM 24031,8.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0,0,0,0,0,0,0,0,0,0
Acinetobacter schindleri NIPH 900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000402482,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp CIP 101934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182655,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp CIP 101966,0,0,4.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001150167,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp CIP 102136,0,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000769988,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp CIP 51 11,0,0,4.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000588685,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp CIP 53 82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000586489,0,0,0.000253602,0.000300226,0,0,0,0,0,0
Acinetobacter sp CIP 64 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72E-06,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp CIP A162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp HA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184344,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp HR7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001015161,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp MDS7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000645628,0,0,0,0,0,0,0,0,0,0
