"node","M","N","category"
"CPOM",,,""
"FPOM",,,""
"Eunotia vanheurckii",4.29017297610507e-12,2797816072.44513,"producer"
"Eunotia incisa",2.40855757903772e-11,1251675506.09386,"producer"
"Eunotia sp.",3.48858440977009e-11,1325277541.15821,"producer"
"Achnanthes minutissima",4.11264617488311e-13,11615593615.1016,"producer"
"Achnanthes saxonica",1.06548506810973e-12,1398982036.22255,"producer"
"Achnanthes modestifor.",8.92084287963604e-11,883518062.772151,"producer"
"Fragilaria vaucheriae",1.63700087581996e-10,10896907229.5226,"producer"
"Gomphonema angustatum",1.47167700107371e-11,6994567181.11277,"producer"
"Tabellaria flocculosa",5.5054918184672e-11,8982412337.85015,"producer"
"Hannaea arcus",8.23827863250537e-11,1767036741.54428,"producer"
"Diatoma hyemale",2.25502028814452e-10,4196719708.66773,"producer"
"Synedra miniscula",1.18517853333033e-11,24223126206.1689,"producer"
"Amphinemura sulcicollis",0.57275894220031,20.7999999999999,"invertebrate"
"Baetis rhodani",1.33310184199525,563.200000000006,"invertebrate"
"Brachyptera risi",1.01271411160371,49.6000000000003,"invertebrate"
"Chironomidae",0.177319525979513,51.1999999999999,"invertebrate"
"Chloroperla tripunctata",0.687382130465037,11.2,"invertebrate"
"Dicranota sp.",0.669879005660978,12.8000000000001,"invertebrate"
"Ecdyonurus sp.",1.30280734528369,1.6,"invertebrate"
"Elmis aenea Ad.",2.74105488893422,4.8,"invertebrate"
"Elmis aenea Lv.",0.195874234390066,17.6,"invertebrate"
"Isoperla grammatica",4.57243703780938,51.1999999999999,"invertebrate"
"Leuctra hippopus",0.92728484092864,19.2,"invertebrate"
"Leuctra inermis",0.819120419920396,244.799999999998,"invertebrate"
"Limnius volckmari",3.58760043008638,3.2,"invertebrate"
"Oreodytes sanmarkii",9.05953353442522,1.6,"invertebrate"
"Plectrocnemia geniculata",2.37455828159659,9.59999999999999,"invertebrate"
"Protonemura meyeri",0.773681083885242,44.7999999999996,"invertebrate"
"Rhithrogena semicolorata",0.984277465361214,28.7999999999999,"invertebrate"
"Rhyacophila septentrionis",1.6186882651381,30.3999999999997,"invertebrate"
"Simuliidae grc",0.173290975852509,11.2,"invertebrate"
"Simuliidae grd",0.418302961660282,9.59999999999999,"invertebrate"
"Simuliidae undet.",0.542580112031988,60.7999999999993,"invertebrate"
"Siphonoperla torrentium",0.786146217464699,14.4,"invertebrate"
"Tipulidae undet.",0.434495164165469,24.0000000000002,"invertebrate"
"Leuctra sp.",,,"invertebrate"
"Baetis sp.",,,"invertebrate"
"Salmo trutta",13749.9999999999,0.0299999999999998,"vert.ecto"
