"resource","consumer"
"Salmo trutta","Salmo trutta"
"Isoperla grammatica","Salmo trutta"
"Leuctra hippopus","Salmo trutta"
"Leuctra inermis","Salmo trutta"
"Limnius volckmari","Salmo trutta"
"Oreodytes sanmarkii","Salmo trutta"
"Plectrocnemia geniculata","Salmo trutta"
"Protonemura meyeri","Salmo trutta"
"Rhithrogena semicolorata","Salmo trutta"
"Rhyacophila septentrionis","Salmo trutta"
"Amphinemura sulcicollis","Salmo trutta"
"Simuliidae grc","Salmo trutta"
"Simuliidae grd","Salmo trutta"
"Simuliidae undet.","Salmo trutta"
"Tipulidae undet.","Salmo trutta"
"Baetis rhodani","Salmo trutta"
"Chironomidae","Salmo trutta"
"Dicranota sp.","Salmo trutta"
"Ecdyonurus sp.","Salmo trutta"
"Elmis aenea Ad.","Salmo trutta"
"Eunotia vanheurckii","Elmis aenea Lv."
"Eunotia incisa","Elmis aenea Lv."
"Eunotia sp.","Elmis aenea Lv."
"Achnanthes minutissima","Elmis aenea Lv."
"Achnanthes saxonica","Elmis aenea Lv."
"Achnanthes modestifor.","Elmis aenea Lv."
"Fragilaria vaucheriae","Elmis aenea Lv."
"Gomphonema angustatum","Elmis aenea Lv."
"Tabellaria flocculosa","Elmis aenea Lv."
"Hannaea arcus","Elmis aenea Lv."
"Diatoma hyemale","Elmis aenea Lv."
"Synedra miniscula","Elmis aenea Lv."
"Isoperla grammatica","Isoperla grammatica"
"Leuctra hippopus","Isoperla grammatica"
"Leuctra inermis","Isoperla grammatica"
"Rhyacophila septentrionis","Isoperla grammatica"
"Simuliidae grc","Isoperla grammatica"
"Simuliidae grd","Isoperla grammatica"
"Simuliidae undet.","Isoperla grammatica"
"Chironomidae","Isoperla grammatica"
"Eunotia vanheurckii","Leuctra hippopus"
"Eunotia incisa","Leuctra hippopus"
"Eunotia sp.","Leuctra hippopus"
"Achnanthes minutissima","Leuctra hippopus"
"Achnanthes saxonica","Leuctra hippopus"
"Achnanthes modestifor.","Leuctra hippopus"
"Fragilaria vaucheriae","Leuctra hippopus"
"Gomphonema angustatum","Leuctra hippopus"
"Tabellaria flocculosa","Leuctra hippopus"
"Hannaea arcus","Leuctra hippopus"
"Diatoma hyemale","Leuctra hippopus"
"Synedra miniscula","Leuctra hippopus"
"Eunotia vanheurckii","Leuctra inermis"
"Eunotia incisa","Leuctra inermis"
"Eunotia sp.","Leuctra inermis"
"Achnanthes minutissima","Leuctra inermis"
"Achnanthes saxonica","Leuctra inermis"
"Achnanthes modestifor.","Leuctra inermis"
"Fragilaria vaucheriae","Leuctra inermis"
"Gomphonema angustatum","Leuctra inermis"
"Tabellaria flocculosa","Leuctra inermis"
"Hannaea arcus","Leuctra inermis"
"Diatoma hyemale","Leuctra inermis"
"Synedra miniscula","Leuctra inermis"
"Eunotia vanheurckii","Limnius volckmari"
"Eunotia incisa","Limnius volckmari"
"Eunotia sp.","Limnius volckmari"
"Achnanthes minutissima","Limnius volckmari"
"Achnanthes saxonica","Limnius volckmari"
"Achnanthes modestifor.","Limnius volckmari"
"Fragilaria vaucheriae","Limnius volckmari"
"Gomphonema angustatum","Limnius volckmari"
"Tabellaria flocculosa","Limnius volckmari"
"Hannaea arcus","Limnius volckmari"
"Diatoma hyemale","Limnius volckmari"
"Synedra miniscula","Limnius volckmari"
"Baetis rhodani","Oreodytes sanmarkii"
"Chironomidae","Oreodytes sanmarkii"
"Leuctra hippopus","Plectrocnemia geniculata"
"Leuctra inermis","Plectrocnemia geniculata"
"Oreodytes sanmarkii","Plectrocnemia geniculata"
"Plectrocnemia geniculata","Plectrocnemia geniculata"
"Protonemura meyeri","Plectrocnemia geniculata"
"Amphinemura sulcicollis","Plectrocnemia geniculata"
"Simuliidae grc","Plectrocnemia geniculata"
"Simuliidae grd","Plectrocnemia geniculata"
"Simuliidae undet.","Plectrocnemia geniculata"
"Siphonoperla torrentium","Plectrocnemia geniculata"
"Tipulidae undet.","Plectrocnemia geniculata"
"Eunotia vanheurckii","Plectrocnemia geniculata"
"Eunotia incisa","Plectrocnemia geniculata"
"Eunotia sp.","Plectrocnemia geniculata"
"Achnanthes minutissima","Plectrocnemia geniculata"
"Achnanthes saxonica","Plectrocnemia geniculata"
"Baetis rhodani","Plectrocnemia geniculata"
"Achnanthes modestifor.","Plectrocnemia geniculata"
"Fragilaria vaucheriae","Plectrocnemia geniculata"
"Gomphonema angustatum","Plectrocnemia geniculata"
"Tabellaria flocculosa","Plectrocnemia geniculata"
"Hannaea arcus","Plectrocnemia geniculata"
"Diatoma hyemale","Plectrocnemia geniculata"
"Synedra miniscula","Plectrocnemia geniculata"
"Chironomidae","Plectrocnemia geniculata"
"Dicranota sp.","Plectrocnemia geniculata"
"Eunotia vanheurckii","Protonemura meyeri"
"Eunotia incisa","Protonemura meyeri"
"Eunotia sp.","Protonemura meyeri"
"Achnanthes minutissima","Protonemura meyeri"
"Achnanthes saxonica","Protonemura meyeri"
"Achnanthes modestifor.","Protonemura meyeri"
"Fragilaria vaucheriae","Protonemura meyeri"
"Gomphonema angustatum","Protonemura meyeri"
"Tabellaria flocculosa","Protonemura meyeri"
"Hannaea arcus","Protonemura meyeri"
"Diatoma hyemale","Protonemura meyeri"
"Synedra miniscula","Protonemura meyeri"
"Eunotia vanheurckii","Rhithrogena semicolorata"
"Eunotia incisa","Rhithrogena semicolorata"
"Eunotia sp.","Rhithrogena semicolorata"
"Achnanthes minutissima","Rhithrogena semicolorata"
"Achnanthes saxonica","Rhithrogena semicolorata"
"Achnanthes modestifor.","Rhithrogena semicolorata"
"Fragilaria vaucheriae","Rhithrogena semicolorata"
"Gomphonema angustatum","Rhithrogena semicolorata"
"Tabellaria flocculosa","Rhithrogena semicolorata"
"Hannaea arcus","Rhithrogena semicolorata"
"Diatoma hyemale","Rhithrogena semicolorata"
"Synedra miniscula","Rhithrogena semicolorata"
"Leuctra hippopus","Rhyacophila septentrionis"
"Leuctra inermis","Rhyacophila septentrionis"
"Rhyacophila septentrionis","Rhyacophila septentrionis"
"Simuliidae grc","Rhyacophila septentrionis"
"Simuliidae grd","Rhyacophila septentrionis"
"Simuliidae undet.","Rhyacophila septentrionis"
"Eunotia vanheurckii","Rhyacophila septentrionis"
"Eunotia incisa","Rhyacophila septentrionis"
"Eunotia sp.","Rhyacophila septentrionis"
"Achnanthes minutissima","Rhyacophila septentrionis"
"Achnanthes saxonica","Rhyacophila septentrionis"
"Achnanthes modestifor.","Rhyacophila septentrionis"
"Fragilaria vaucheriae","Rhyacophila septentrionis"
"Gomphonema angustatum","Rhyacophila septentrionis"
"Tabellaria flocculosa","Rhyacophila septentrionis"
"Hannaea arcus","Rhyacophila septentrionis"
"Diatoma hyemale","Rhyacophila septentrionis"
"Synedra miniscula","Rhyacophila septentrionis"
"Eunotia vanheurckii","Amphinemura sulcicollis"
"Eunotia incisa","Amphinemura sulcicollis"
"Eunotia sp.","Amphinemura sulcicollis"
"Achnanthes minutissima","Amphinemura sulcicollis"
"Achnanthes saxonica","Amphinemura sulcicollis"
"Achnanthes modestifor.","Amphinemura sulcicollis"
"Fragilaria vaucheriae","Amphinemura sulcicollis"
"Gomphonema angustatum","Amphinemura sulcicollis"
"Tabellaria flocculosa","Amphinemura sulcicollis"
"Hannaea arcus","Amphinemura sulcicollis"
"Diatoma hyemale","Amphinemura sulcicollis"
"Synedra miniscula","Amphinemura sulcicollis"
"Eunotia vanheurckii","Simuliidae grc"
"Eunotia incisa","Simuliidae grc"
"Eunotia sp.","Simuliidae grc"
"Achnanthes minutissima","Simuliidae grc"
"Achnanthes saxonica","Simuliidae grc"
"Achnanthes modestifor.","Simuliidae grc"
"Fragilaria vaucheriae","Simuliidae grc"
"Gomphonema angustatum","Simuliidae grc"
"Tabellaria flocculosa","Simuliidae grc"
"Hannaea arcus","Simuliidae grc"
"Diatoma hyemale","Simuliidae grc"
"Synedra miniscula","Simuliidae grc"
"Eunotia vanheurckii","Simuliidae grd"
"Eunotia incisa","Simuliidae grd"
"Eunotia sp.","Simuliidae grd"
"Achnanthes minutissima","Simuliidae grd"
"Achnanthes saxonica","Simuliidae grd"
"Achnanthes modestifor.","Simuliidae grd"
"Fragilaria vaucheriae","Simuliidae grd"
"Gomphonema angustatum","Simuliidae grd"
"Tabellaria flocculosa","Simuliidae grd"
"Hannaea arcus","Simuliidae grd"
"Diatoma hyemale","Simuliidae grd"
"Synedra miniscula","Simuliidae grd"
"Eunotia vanheurckii","Simuliidae undet."
"Eunotia incisa","Simuliidae undet."
"Eunotia sp.","Simuliidae undet."
"Achnanthes minutissima","Simuliidae undet."
"Achnanthes saxonica","Simuliidae undet."
"Achnanthes modestifor.","Simuliidae undet."
"Fragilaria vaucheriae","Simuliidae undet."
"Gomphonema angustatum","Simuliidae undet."
"Tabellaria flocculosa","Simuliidae undet."
"Hannaea arcus","Simuliidae undet."
"Diatoma hyemale","Simuliidae undet."
"Synedra miniscula","Simuliidae undet."
"Leuctra hippopus","Siphonoperla torrentium"
"Leuctra inermis","Siphonoperla torrentium"
"Simuliidae grc","Siphonoperla torrentium"
"Simuliidae grd","Siphonoperla torrentium"
"Simuliidae undet.","Siphonoperla torrentium"
"Siphonoperla torrentium","Siphonoperla torrentium"
"Chironomidae","Siphonoperla torrentium"
"Chloroperla tripunctata","Siphonoperla torrentium"
"Eunotia vanheurckii","Tipulidae undet."
"Eunotia incisa","Tipulidae undet."
"Eunotia sp.","Tipulidae undet."
"Achnanthes minutissima","Tipulidae undet."
"Achnanthes saxonica","Tipulidae undet."
"Achnanthes modestifor.","Tipulidae undet."
"Fragilaria vaucheriae","Tipulidae undet."
"Gomphonema angustatum","Tipulidae undet."
"Tabellaria flocculosa","Tipulidae undet."
"Hannaea arcus","Tipulidae undet."
"Diatoma hyemale","Tipulidae undet."
"Synedra miniscula","Tipulidae undet."
"Eunotia vanheurckii","Baetis rhodani"
"Eunotia incisa","Baetis rhodani"
"Eunotia sp.","Baetis rhodani"
"Achnanthes minutissima","Baetis rhodani"
"Achnanthes saxonica","Baetis rhodani"
"Achnanthes modestifor.","Baetis rhodani"
"Fragilaria vaucheriae","Baetis rhodani"
"Gomphonema angustatum","Baetis rhodani"
"Tabellaria flocculosa","Baetis rhodani"
"Hannaea arcus","Baetis rhodani"
"Diatoma hyemale","Baetis rhodani"
"Synedra miniscula","Baetis rhodani"
"Eunotia vanheurckii","Brachyptera risi"
"Eunotia incisa","Brachyptera risi"
"Eunotia sp.","Brachyptera risi"
"Achnanthes minutissima","Brachyptera risi"
"Achnanthes saxonica","Brachyptera risi"
"Achnanthes modestifor.","Brachyptera risi"
