"resource","consumer"
"Cottus gobio","Cottus gobio"
"Chironomidae","Dicranota sp."
"Achnanthes elliptica","Agapetus fuscipes"
"Achnanthes elliptica","Agapetus ochripes"
"Achnanthes elliptica","Ancylus"
"Achnanthes elliptica","Oligochaetae"
"Achnanthes elliptica","Baetis sp."
"Achnanthes elliptica","Caenis rivulorum"
"Achnanthes elliptica","Ceratopogonidae"
"Achnanthes elliptica","Chironomidae"
"Achnanthes elliptica","Ecclisopteryx gluttalata"
"Achnanthes elliptica","Elmis aenea Lv."
"Achnanthes elliptica","Ephemera danica"
"Achnanthes elliptica","Erpobdella"
"Achnanthes elliptica","Gammarus"
"Achnanthes elliptica","Gasterosteus"
"Achnanthes elliptica","Glossiphonia"
"Achnanthes elliptica","Heptagenia sulphurea"
"Achnanthes elliptica","Hydropsyche pellucidula"
"Achnanthes elliptica","Hydropsyche siltalai"
"Achnanthes elliptica","Lampetra planeri"
"Achnanthes elliptica","Leuctra hippopus"
"Achnanthes elliptica","Limnius volckmari Lv."
"Achnanthes elliptica","Odontocerum albicorne"
"Achnanthes elliptica","Phoxinus phoxinus"
"Achnanthes elliptica","Pisidium"
"Achnanthes elliptica","Potamophylax rotundipennis"
"Achnanthes elliptica","Potamopyrgus"
"Achnanthes elliptica","Rhyacophila septentrionis"
"Achnanthes elliptica","Serratella ignita"
"Achnanthes elliptica","Sericostoma personatum"
"Achnanthes elliptica","Silo nigricornis"
"Achnanthes elliptica","Simuliidae gra"
"Achnanthes elliptica","Tanypodinae"
"Achnanthes lanceolata","Agapetus fuscipes"
"Achnanthes lanceolata","Agapetus ochripes"
"Achnanthes lanceolata","Ancylus"
"Achnanthes lanceolata","Oligochaetae"
"Achnanthes lanceolata","Baetis sp."
"Achnanthes lanceolata","Caenis rivulorum"
"Achnanthes lanceolata","Ceratopogonidae"
"Achnanthes lanceolata","Chironomidae"
"Achnanthes lanceolata","Ecclisopteryx gluttalata"
"Achnanthes lanceolata","Elmis aenea Lv."
"Achnanthes lanceolata","Ephemera danica"
"Achnanthes lanceolata","Erpobdella"
"Achnanthes lanceolata","Gammarus"
"Achnanthes lanceolata","Gasterosteus"
"Achnanthes lanceolata","Glossiphonia"
"Achnanthes lanceolata","Heptagenia sulphurea"
"Achnanthes lanceolata","Hydropsyche pellucidula"
"Achnanthes lanceolata","Hydropsyche siltalai"
"Achnanthes lanceolata","Lampetra planeri"
"Achnanthes lanceolata","Leuctra hippopus"
"Achnanthes lanceolata","Limnius volckmari Lv."
"Achnanthes lanceolata","Odontocerum albicorne"
"Achnanthes lanceolata","Phoxinus phoxinus"
"Achnanthes lanceolata","Pisidium"
"Achnanthes lanceolata","Potamophylax rotundipennis"
"Achnanthes lanceolata","Potamopyrgus"
"Achnanthes lanceolata","Rhyacophila septentrionis"
"Achnanthes lanceolata","Serratella ignita"
"Achnanthes lanceolata","Sericostoma personatum"
"Achnanthes lanceolata","Silo nigricornis"
"Achnanthes lanceolata","Simuliidae gra"
"Achnanthes lanceolata","Tanypodinae"
"Amphora ovalis","Agapetus fuscipes"
"Amphora ovalis","Agapetus ochripes"
"Amphora ovalis","Ancylus"
"Amphora ovalis","Oligochaetae"
"Amphora ovalis","Baetis sp."
"Amphora ovalis","Caenis rivulorum"
"Amphora ovalis","Ceratopogonidae"
"Amphora ovalis","Chironomidae"
"Amphora ovalis","Ecclisopteryx gluttalata"
"Amphora ovalis","Elmis aenea Lv."
"Amphora ovalis","Ephemera danica"
"Amphora ovalis","Erpobdella"
"Amphora ovalis","Gammarus"
"Amphora ovalis","Gasterosteus"
"Amphora ovalis","Glossiphonia"
"Amphora ovalis","Heptagenia sulphurea"
"Amphora ovalis","Hydropsyche pellucidula"
"Amphora ovalis","Hydropsyche siltalai"
"Amphora ovalis","Lampetra planeri"
"Amphora ovalis","Leuctra hippopus"
"Amphora ovalis","Limnius volckmari Lv."
"Amphora ovalis","Odontocerum albicorne"
"Amphora ovalis","Phoxinus phoxinus"
"Amphora ovalis","Pisidium"
