"resource","consumer"
"Ceratopogonidae undet.","Salmo trutta"
"Ceratopogonidae undet.","Sialis fuliginosa"
"Chironomidae undet.","Cordulegaster boltonii"
"Chironomidae undet.","Plectrocnemia conspersa"
"Chironomidae undet.","Salmo trutta"
"Chironomidae undet.","Sialis fuliginosa"
"Chironomidae undet.","Siphonoperla torrentium"
"Chironomidae undet.","Halesus radiatus"
"Chironomidae undet.","Tanypodinae undet."
"Cordulegaster boltonii","Cordulegaster boltonii"
"Cordulegaster boltonii","Plectrocnemia conspersa"
"Cordulegaster boltonii","Salmo trutta"
"Cordulegaster boltonii","Sialis fuliginosa"
"Diatom sp.1","Ceratopogonidae undet."
"Diatom sp.1","Chironomidae undet."
"Diatom sp.1","Halesus radiatus"
"Diatom sp.1","Leuctra nigra"
"Diatom sp.1","Limnius volckmari Lv."
"Diatom sp.1","Nemurella pictetii"
"Diatom sp.1","Pisidium sp."
"Diatom sp.1","Plectrocnemia conspersa"
"Diatom sp.1","Sialis fuliginosa"
"Diatom sp.1","Simuliidae gra"
"Diatom sp.1","Simuliidae grb"
"Diatom sp.1","Simuliidae undet."
"Diatom sp.1","Tanypodinae undet."
"Diatom sp.1","Tipulidae undet."
"Diatom sp.2","Ceratopogonidae undet."
"Diatom sp.2","Chironomidae undet."
"Diatom sp.2","Halesus radiatus"
"Diatom sp.2","Leuctra nigra"
"Diatom sp.2","Limnius volckmari Lv."
"Diatom sp.2","Nemurella pictetii"
"Diatom sp.2","Pisidium sp."
"Diatom sp.2","Plectrocnemia conspersa"
"Diatom sp.2","Sialis fuliginosa"
"Diatom sp.2","Simuliidae gra"
"Diatom sp.2","Simuliidae grb"
"Diatom sp.2","Simuliidae undet."
"Diatom sp.2","Tanypodinae undet."
"Diatom sp.2","Tipulidae undet."
"Eunotia exigua","Ceratopogonidae undet."
"Eunotia exigua","Chironomidae undet."
"Eunotia exigua","Halesus radiatus"
"Eunotia exigua","Leuctra nigra"
"Eunotia exigua","Limnius volckmari Lv."
"Eunotia exigua","Nemurella pictetii"
"Eunotia exigua","Pisidium sp."
"Eunotia exigua","Plectrocnemia conspersa"
"Eunotia exigua","Sialis fuliginosa"
"Eunotia exigua","Simuliidae gra"
"Eunotia exigua","Simuliidae grb"
"Eunotia exigua","Simuliidae undet."
"Eunotia exigua","Tanypodinae undet."
"Eunotia exigua","Tipulidae undet."
"Eunotia incisa","Ceratopogonidae undet."
"Eunotia incisa","Chironomidae undet."
"Eunotia incisa","Halesus radiatus"
"Eunotia incisa","Leuctra nigra"
"Eunotia incisa","Limnius volckmari Lv."
"Eunotia incisa","Nemurella pictetii"
"Eunotia incisa","Pisidium sp."
"Eunotia incisa","Plectrocnemia conspersa"
"Eunotia incisa","Sialis fuliginosa"
"Eunotia incisa","Simuliidae gra"
"Eunotia incisa","Simuliidae grb"
"Eunotia incisa","Simuliidae undet."
"Eunotia incisa","Tanypodinae undet."
"Eunotia incisa","Tipulidae undet."
"Eunotia rhomboidea","Ceratopogonidae undet."
"Eunotia rhomboidea","Chironomidae undet."
"Eunotia rhomboidea","Halesus radiatus"
"Eunotia rhomboidea","Leuctra nigra"
"Eunotia rhomboidea","Limnius volckmari Lv."
"Eunotia rhomboidea","Nemurella pictetii"
"Eunotia rhomboidea","Pisidium sp."
"Eunotia rhomboidea","Plectrocnemia conspersa"
"Eunotia rhomboidea","Sialis fuliginosa"
"Eunotia rhomboidea","Simuliidae gra"
"Eunotia rhomboidea","Simuliidae grb"
"Eunotia rhomboidea","Simuliidae undet."
"Eunotia rhomboidea","Tanypodinae undet."
