"node","M","N","category"
"CPOM",,,""
"FPOM",,,""
"Eunotia  exigua",1.91044127372439e-12,603443798.815166,"producer"
"Eunotia naegelii",6.53507064484652e-10,222321399.563483,"producer"
"Eunotia incisa",4.37587888442674e-11,2318494595.44776,"producer"
"Eunotia denticula",1.15369160635861e-10,269961699.469946,"producer"
"Tabellaria flocculosa",3.42685623828501e-11,4621109090.92669,"producer"
"Peronia fibula",1.08477653952254e-10,6971363886.31217,"producer"
"Brachysira brebi",8.35265604396693e-12,555803498.90871,"producer"
"Amphinemura sulcicollis",0.633188551521442,35.1999999999999,"invertebrate"
"Chironomidae undet.",0.167281053205573,19.2,"invertebrate"
"Dicranota sp.",0.868534827253281,4.8,"invertebrate"
"Dugesia sp.",6.5980915070939,1.6,"invertebrate"
"Isoperla grammatica",2.28042526957514,3.2,"invertebrate"
"Leuctra hippopus",1.66919419059994,3.2,"invertebrate"
"Leuctra inermis",1.18367271746673,9.59999999999999,"invertebrate"
"Plectrocnemia conspersa",0.283060341590513,1.6,"invertebrate"
"Protonemura meyeri",0.479358241400525,1.6,"invertebrate"
"Siphonoperla torrentium",0.645251467686845,12.8000000000001,"invertebrate"
"Tipulidae undet.",1.43194383128209,1.6,"invertebrate"
"Salmo trutta",54999.9999999995,6.66666666666667,"vert.ecto"
