"resource","consumer"
"Achnanthes sp.","Amphinemura sulcicollis"
"Achnanthes sp.","Annelidae undet."
"Achnanthes sp.","Baetis rhodani"
"Achnanthes sp.","Baetis vernus"
"Achnanthes sp.","Ceratopogonidae undet."
"Achnanthes sp.","Chironomidae"
"Achnanthes sp.","Halesus radiatus"
"Achnanthes sp.","Heptagenia lateralis"
"Achnanthes sp.","Oulimnius sp. Lv."
"Achnanthes sp.","Oxyethira sp."
"Achnanthes sp.","Plectrocnemia conspersa"
"Achnanthes sp.","Simuliidae gra"
"Achnanthes sp.","Simuliidae grb"
"Achnanthes sp.","Simuliidae grd"
"Achnanthes sp.","Tanypodinae undet."
"Achnanthes sp.","Tinodes waeneri"
"Achnanthes sp.","Tipulidae undet."
"Amphinemura sulcicollis","Plectrocnemia conspersa"
"Amphinemura sulcicollis","Salmo trutta"
"Annelidae undet.","Cordulegaster boltonii"
"Annelidae undet.","Plectrocnemia conspersa"
"Annelidae undet.","Salmo trutta"
"Annelidae undet.","Siphonoperla torrentium"
"Annelidae undet.","Tanypodinae undet."
"Baetis rhodani","Plectrocnemia conspersa"
"Baetis rhodani","Salmo trutta"
"Baetis vernus","Plectrocnemia conspersa"
"Baetis vernus","Salmo trutta"
"Ceratopogonidae undet.","Dicranota sp."
"Ceratopogonidae undet.","Salmo trutta"
"Chironomidae","Cordulegaster boltonii"
"Chironomidae","Plectrocnemia conspersa"
"Chironomidae","Salmo trutta"
"Chironomidae","Siphonoperla torrentium"
"Chironomidae","Calopteryx splendens"
"Chironomidae","Dicranota sp."
"Chironomidae","Halesus radiatus"
"Chironomidae","Tanypodinae undet."
"Cordulegaster boltonii","Cordulegaster boltonii"
"Cordulegaster boltonii","Plectrocnemia conspersa"
"Dicranota sp.","Plectrocnemia conspersa"
"Dicranota sp.","Cordulegaster boltonii"
"Dicranota sp.","Dicranota sp."
"Dicranota sp.","Salmo trutta"
"Eunotia exigua","Amphinemura sulcicollis"
"Eunotia exigua","Annelidae undet."
"Eunotia exigua","Baetis rhodani"
"Eunotia exigua","Baetis vernus"
"Eunotia exigua","Ceratopogonidae undet."
"Eunotia exigua","Chironomidae"
"Eunotia exigua","Halesus radiatus"
"Eunotia exigua","Heptagenia lateralis"
"Eunotia exigua","Oulimnius sp. Lv."
"Eunotia exigua","Oxyethira sp."
"Eunotia exigua","Plectrocnemia conspersa"
"Eunotia exigua","Simuliidae gra"
"Eunotia exigua","Simuliidae grb"
"Eunotia exigua","Simuliidae grd"
"Eunotia exigua","Tanypodinae undet."
"Eunotia exigua","Tinodes waeneri"
"Eunotia exigua","Tipulidae undet."
"Eunotia incisa","Amphinemura sulcicollis"
"Eunotia incisa","Annelidae undet."
"Eunotia incisa","Baetis rhodani"
"Eunotia incisa","Baetis vernus"
"Eunotia incisa","Ceratopogonidae undet."
"Eunotia incisa","Chironomidae"
"Eunotia incisa","Halesus radiatus"
"Eunotia incisa","Heptagenia lateralis"
"Eunotia incisa","Oulimnius sp. Lv."
"Eunotia incisa","Oxyethira sp."
"Eunotia incisa","Plectrocnemia conspersa"
"Eunotia incisa","Simuliidae gra"
"Eunotia incisa","Simuliidae grb"
"Eunotia incisa","Simuliidae grd"
"Eunotia incisa","Tanypodinae undet."
"Eunotia incisa","Tinodes waeneri"
"Eunotia incisa","Tipulidae undet."
"Eunotia pectinalis","Amphinemura sulcicollis"
"Eunotia pectinalis","Annelidae undet."
"Eunotia pectinalis","Baetis rhodani"
"Eunotia pectinalis","Baetis vernus"
"Eunotia pectinalis","Ceratopogonidae undet."
"Eunotia pectinalis","Chironomidae"
"Eunotia pectinalis","Halesus radiatus"
"Eunotia pectinalis","Heptagenia lateralis"
"Eunotia pectinalis","Oulimnius sp. Lv."
"Eunotia pectinalis","Oxyethira sp."
"Eunotia pectinalis","Plectrocnemia conspersa"
"Eunotia pectinalis","Simuliidae gra"
"Eunotia pectinalis","Simuliidae grb"
"Eunotia pectinalis","Simuliidae grd"
"Eunotia pectinalis","Tanypodinae undet."
"Eunotia pectinalis","Tinodes waeneri"
"Eunotia pectinalis","Tipulidae undet."
"Eunotia rhomboidea","Amphinemura sulcicollis"
"Eunotia rhomboidea","Annelidae undet."
"Eunotia rhomboidea","Baetis rhodani"
"Eunotia rhomboidea","Baetis vernus"
"Eunotia rhomboidea","Ceratopogonidae undet."
"Eunotia rhomboidea","Chironomidae"
"Eunotia rhomboidea","Halesus radiatus"
"Eunotia rhomboidea","Heptagenia lateralis"
"Eunotia rhomboidea","Oulimnius sp. Lv."
"Eunotia rhomboidea","Oxyethira sp."
"Eunotia rhomboidea","Plectrocnemia conspersa"
"Eunotia rhomboidea","Simuliidae gra"
"Eunotia rhomboidea","Simuliidae grb"
"Eunotia rhomboidea","Simuliidae grd"
