"resource","consumer"
"Tabellaria flocculosa","Ancylus fluviatilis"
"Fragilaria sp.","Ancylus fluviatilis"
"Salmo trutta","Salmo trutta"
"Annelidae undet.","Chloroperla tripunctata"
"Annelidae undet.","Perla bipunctata"
"Annelidae undet.","Salmo trutta"
"Annelidae undet.","Siphonoperla torrentium"
"Annelidae undet.","Tanypodinae undet."
"Baetis muticus","Gammarus pulex"
"Baetis muticus","Salmo trutta"
"Baetis rhodani","Gammarus pulex"
"Baetis rhodani","Salmo trutta"
"Baetis scambus","Gammarus pulex"
"Baetis scambus","Salmo trutta"
"Baetis sp.","Gammarus pulex"
"Baetis sp.","Salmo trutta"
"Baetis vernus","Gammarus pulex"
"Baetis vernus","Salmo trutta"
"Chironomidae undet.","Chloroperla tripunctata"
"Chironomidae undet.","Gammarus pulex"
"Chironomidae undet.","Isoperla grammatica"
"Chironomidae undet.","Perla bipunctata"
"Chironomidae undet.","Salmo trutta"
"Chironomidae undet.","Siphonoperla torrentium"
"Chironomidae undet.","Calopteryx splendens"
"Chironomidae undet.","Tanypodinae undet."
"Chloroperla tripunctata","Chloroperla tripunctata"
"Chloroperla tripunctata","Siphonoperla torrentium"
"Chloroperla tripunctata","Tanypodinae undet."
"Diplectrona felix","Salmo trutta"
"Gammarus pulex","Salmo trutta"
"Gammarus pulex","Tanypodinae undet."
"Heptagenia lateralis","Salmo trutta"
"Hydropsyche siltalai","Salmo trutta"
"Isoperla grammatica","Isoperla grammatica"
"Isoperla grammatica","Perla bipunctata"
"Isoperla grammatica","Salmo trutta"
"Leuctra inermis","Calopteryx splendens"
"Leuctra inermis","Chloroperla tripunctata"
"Leuctra inermis","Gammarus pulex"
"Leuctra inermis","Isoperla grammatica"
"Leuctra inermis","Perla bipunctata"
"Leuctra inermis","Salmo trutta"
"Leuctra inermis","Siphonoperla torrentium"
"Leuctra inermis","Tanypodinae undet."
"Protonemura meyeri","Salmo trutta"
"Siphonoperla torrentium","Chloroperla tripunctata"
"Siphonoperla torrentium","Perla bipunctata"
"Siphonoperla torrentium","Siphonoperla torrentium"
"Siphonoperla torrentium","Tanypodinae undet."
"Achnanthes sp.","Ancylus fluviatilis"
"Achnanthes sp.","Annelidae undet."
"Diatom sp. 1 (Brachysira)","Ancylus fluviatilis"
"Diatom sp. 1 (Brachysira)","Annelidae undet."
"Diatom sp. 1 (Brachysira)","Baetis muticus"
"Diatom sp. 1 (Brachysira)","Baetis rhodani"
"Diatom sp. 1 (Brachysira)","Baetis scambus"
"Diatom sp. 1 (Brachysira)","Baetis sp."
"Diatom sp. 1 (Brachysira)","Baetis vernus"
"Diatom sp. 1 (Brachysira)","Chironomidae undet."
"Diatom sp. 1 (Brachysira)","Diplectrona felix"
"Diatom sp. 1 (Brachysira)","Elmis aenea Lv."
"Diatom sp. 1 (Brachysira)","Empididae undet."
"Diatom sp. 1 (Brachysira)","Gammarus pulex"
"Diatom sp. 1 (Brachysira)","Heptagenia lateralis"
"Diatom sp. 1 (Brachysira)","Hydropsyche siltalai"
"Diatom sp. 1 (Brachysira)","Leuctra inermis"
"Diatom sp. 1 (Brachysira)","Limnius volckmari Lv."
"Diatom sp. 1 (Brachysira)","Oulimnius sp. Lv."
"Diatom sp. 1 (Brachysira)","Philopotamus montanus"
"Diatom sp. 1 (Brachysira)","Protonemura meyeri"
"Diatom sp. 1 (Brachysira)","Silo pallipes"
"Diatom sp. 1 (Brachysira)","Tanypodinae undet."
"Diatom sp. 1 (Brachysira)","Tipulidae undet."
"Diatoma mesodon","Ancylus fluviatilis"
"Diatoma mesodon","Annelidae undet."
"Diatoma mesodon","Baetis muticus"
"Diatoma mesodon","Baetis rhodani"
"Diatoma mesodon","Baetis scambus"
"Diatoma mesodon","Baetis sp."
"Diatoma mesodon","Baetis vernus"
"Diatoma mesodon","Chironomidae undet."
"Diatoma mesodon","Diplectrona felix"
"Diatoma mesodon","Elmis aenea Lv."
"Diatoma mesodon","Empididae undet."
"Diatoma mesodon","Gammarus pulex"
"Diatoma mesodon","Heptagenia lateralis"
"Diatoma mesodon","Hydropsyche siltalai"
"Diatoma mesodon","Leuctra inermis"
"Diatoma mesodon","Limnius volckmari Lv."
"Diatoma mesodon","Oulimnius sp. Lv."
"Diatoma mesodon","Philopotamus montanus"
"Diatoma mesodon","Protonemura meyeri"
"Diatoma mesodon","Silo pallipes"
"Diatoma mesodon","Tanypodinae undet."
"Diatoma mesodon","Tipulidae undet."
"Eunotia incisa","Ancylus fluviatilis"
"Eunotia incisa","Annelidae undet."
"Eunotia incisa","Baetis muticus"
"Eunotia incisa","Baetis rhodani"
"Eunotia incisa","Baetis scambus"
"Eunotia incisa","Baetis sp."
"Eunotia incisa","Baetis vernus"
"Eunotia incisa","Chironomidae undet."
"Eunotia incisa","Diplectrona felix"
"Eunotia incisa","Elmis aenea Lv."
"Eunotia incisa","Empididae undet."
"Eunotia incisa","Gammarus pulex"
"Eunotia incisa","Heptagenia lateralis"
"Eunotia incisa","Hydropsyche siltalai"
"Eunotia incisa","Leuctra inermis"
"Eunotia incisa","Limnius volckmari Lv."
"Eunotia incisa","Oulimnius sp. Lv."
