"resource","consumer"
"Anabolia nervosa","Salmo trutta"
"Ancylus fluviatilis","Salmo trutta"
"Anguilla","Salmo trutta"
"Annelidae undet.","Salmo trutta"
"Asellus aquaticus","Salmo trutta"
"Baetis niger","Salmo trutta"
"Bithynia leachi","Salmo trutta"
"Ceratopogonidae undet.","Salmo trutta"
"Chironomidae undet.","Salmo trutta"
"Dicranota sp.","Salmo trutta"
"Ecdyonurus dispar","Salmo trutta"
"Erpobdella octoculata","Salmo trutta"
"Gammarus pulex","Salmo trutta"
"Heptagenia sulphurea","Salmo trutta"
"Hydropsyche contubernalis","Salmo trutta"
"Hydropsyche instabilis","Salmo trutta"
"Hydropsyche pellucidula","Salmo trutta"
"Hydropsyche siltalai","Salmo trutta"
"Leuctra geniculata","Salmo trutta"
"Plectrocnemia conspersa","Salmo trutta"
"Rhithrogena semicolorata","Salmo trutta"
"Salmo trutta","Salmo trutta"
"Seratella ignita","Salmo trutta"
"Sericostoma personatum","Salmo trutta"
"Simuliidae grc","Salmo trutta"
"Simuliidae grd","Salmo trutta"
"Tanypodinae undet.","Salmo trutta"
"Tipulidae undet.","Salmo trutta"
"Achnanthes devei","Esox"
"Achnanthes elliptica","Esox"
"Achnanthes lanceolata","Esox"
"Amphora ovalis","Esox"
"Amphora pediculus","Esox"
"Anabolia nervosa","Esox"
"Ancylus fluviatilis","Esox"
"Annelidae undet.","Esox"
"Baetis niger","Esox"
"Caenis rivulorum","Esox"
"Ceratopogonidae undet.","Esox"
"Chironomidae undet.","Esox"
"Cocconeis placentula","Esox"
"Cymbella lanceolata","Esox"
"Cymbella minuta","Esox"
"Cymbella silesiaca","Esox"
"Cymbella solea","Esox"
"Diatoma vulgaris","Esox"
"Dicranota sp.","Esox"
"Ecdyonurus dispar","Esox"
"Fragilaria elliptica","Esox"
"Fragilaria leptostauron","Esox"
"Fragilaria vaucheriae","Esox"
"gobio gobio","Esox"
"Gomphonema olivaceum","Esox"
"Gongrosira incrustans","Esox"
"Hydracarina sp.","Esox"
"Hydropsyche contubernalis","Esox"
"Hydropsyche instabilis","Esox"
"Hydropsyche pellucidula","Esox"
"Hydropsyche siltalai","Esox"
"Leuctra geniculata","Esox"
"Melosira varians","Esox"
"Navicula capitatoradiata","Esox"
"Navicula cryptotenella","Esox"
"Navicula gregoria","Esox"
"Navicula lanceolata","Esox"
"Navicula menisculus","Esox"
"Navicula pseudogregaria","Esox"
"Navicula tripunctata","Esox"
"Nitzschia amphibia","Esox"
"Nitzschia dissipata","Esox"
"Nitzschia perminuta","Esox"
"Plectrocnemia conspersa","Esox"
"Rhithrogena semicolorata","Esox"
"Rhoicosphenia curvata","Esox"
"rutilus rutilus","Esox"
"Salmo trutta","Esox"
"Seratella ignita","Esox"
"Sericostoma personatum","Esox"
"Simuliidae grc","Esox"
"Simuliidae grd","Esox"
"Surirella ovalis","Esox"
"Synedra ulva","Esox"
"Tabellaria flocculosa","Esox"
"Tanypodinae undet.","Esox"
"Thymallus","Esox"
"Tipulidae undet.","Esox"
"Achnanthes devei","Chub"
"Achnanthes elliptica","Chub"
"Achnanthes lanceolata","Chub"
"Amphora ovalis","Chub"
"Amphora pediculus","Chub"
"Anabolia nervosa","Chub"
"Ancylus fluviatilis","Chub"
"Annelidae undet.","Chub"
"Baetis niger","Chub"
"Caenis rivulorum","Chub"
"Ceratopogonidae undet.","Chub"
