"resource","consumer"
"Amphinemura sulcicollis","Plectrocnemia conspersa"
"Amphinemura sulcicollis","Salmo trutta"
"Annelidae undet.","Plectrocnemia conspersa"
"Annelidae undet.","Salmo trutta"
"Annelidae undet.","Siphonoperla torrentium"
"Annelidae undet.","Tanypodinae undet."
"Chironomidae undet.","Isoperla grammatica"
"Chironomidae undet.","Plectrocnemia conspersa"
"Chironomidae undet.","Salmo trutta"
"Chironomidae undet.","Siphonoperla torrentium"
"Chironomidae undet.","Tanypodinae undet."
"Diatom sp. 1 Fragilaria)","Amphinemura sulcicollis"
"Diatom sp. 1 Fragilaria)","Annelidae undet."
"Diatom sp. 1 Fragilaria)","Chironomidae undet."
"Diatom sp. 1 Fragilaria)","Hydropsyche siltalai"
"Diatom sp. 1 Fragilaria)","Leuctra inermis"
"Diatom sp. 1 Fragilaria)","Plectrocnemia conspersa"
"Diatom sp. 1 Fragilaria)","Siphlonurus armatus"
"Diatom sp. 1 Fragilaria)","Tanypodinae undet."
"Diatoma mesodon","Amphinemura sulcicollis"
"Diatoma mesodon","Annelidae undet."
"Diatoma mesodon","Chironomidae undet."
"Diatoma mesodon","Hydropsyche siltalai"
"Diatoma mesodon","Leuctra inermis"
"Diatoma mesodon","Plectrocnemia conspersa"
"Diatoma mesodon","Siphlonurus armatus"
"Diatoma mesodon","Tanypodinae undet."
"Eunotia incisa","Amphinemura sulcicollis"
"Eunotia incisa","Annelidae undet."
"Eunotia incisa","Chironomidae undet."
"Eunotia incisa","Hydropsyche siltalai"
"Eunotia incisa","Leuctra inermis"
"Eunotia incisa","Plectrocnemia conspersa"
"Eunotia incisa","Siphlonurus armatus"
"Eunotia incisa","Tanypodinae undet."
"Eunotia rhomboidea","Amphinemura sulcicollis"
"Eunotia rhomboidea","Annelidae undet."
"Eunotia rhomboidea","Chironomidae undet."
"Eunotia rhomboidea","Hydropsyche siltalai"
"Eunotia rhomboidea","Leuctra inermis"
"Eunotia rhomboidea","Plectrocnemia conspersa"
"Eunotia rhomboidea","Siphlonurus armatus"
"Eunotia rhomboidea","Tanypodinae undet."
"Eunotia sp. 1 (L)","Amphinemura sulcicollis"
"Eunotia sp. 1 (L)","Annelidae undet."
"Eunotia sp. 1 (L)","Chironomidae undet."
"Eunotia sp. 1 (L)","Hydropsyche siltalai"
"Eunotia sp. 1 (L)","Leuctra inermis"
"Eunotia sp. 1 (L)","Plectrocnemia conspersa"
"Eunotia sp. 1 (L)","Siphlonurus armatus"
"Eunotia sp. 1 (L)","Tanypodinae undet."
"Hydropsyche siltalai","Salmo trutta"
"Isoperla grammatica","Isoperla grammatica"
"Isoperla grammatica","Salmo trutta"
"Leuctra inermis","Isoperla grammatica"
"Leuctra inermis","Plectrocnemia conspersa"
"Leuctra inermis","Salmo trutta"
"Leuctra inermis","Siphonoperla torrentium"
"Leuctra inermis","Tanypodinae undet."
"Peronia fibula","Amphinemura sulcicollis"
"Peronia fibula","Annelidae undet."
"Peronia fibula","Chironomidae undet."
"Peronia fibula","Hydropsyche siltalai"
"Peronia fibula","Leuctra inermis"
"Peronia fibula","Plectrocnemia conspersa"
"Peronia fibula","Siphlonurus armatus"
"Peronia fibula","Tanypodinae undet."
"Pinnularia subcapitata","Amphinemura sulcicollis"
"Pinnularia subcapitata","Annelidae undet."
"Pinnularia subcapitata","Chironomidae undet."
"Pinnularia subcapitata","Hydropsyche siltalai"
"Pinnularia subcapitata","Leuctra inermis"
"Pinnularia subcapitata","Plectrocnemia conspersa"
"Pinnularia subcapitata","Siphlonurus armatus"
"Pinnularia subcapitata","Tanypodinae undet."
"Plectrocnemia conspersa","Plectrocnemia conspersa"
"Plectrocnemia conspersa","Salmo trutta"
"Plectrocnemia conspersa","Tanypodinae undet."
"Salmo trutta","Salmo trutta"
"Siphonoperla torrentium","Plectrocnemia conspersa"
"Siphonoperla torrentium","Siphonoperla torrentium"
"Siphonoperla torrentium","Tanypodinae undet."
"Tabellaria flocculosa","Amphinemura sulcicollis"
"Tabellaria flocculosa","Annelidae undet."
"Tabellaria flocculosa","Chironomidae undet."
"Tabellaria flocculosa","Hydropsyche siltalai"
"Tabellaria flocculosa","Leuctra inermis"
"Tabellaria flocculosa","Plectrocnemia conspersa"
"Tabellaria flocculosa","Siphlonurus armatus"
"Tabellaria flocculosa","Tanypodinae undet."
"Tanypodinae undet.","Isoperla grammatica"
"Tanypodinae undet.","Plectrocnemia conspersa"
"Tanypodinae undet.","Salmo trutta"
"Tanypodinae undet.","Siphonoperla torrentium"
"Tanypodinae undet.","Tanypodinae undet."
"CPOM","Amphinemura sulcicollis"
"CPOM","Annelidae undet."
"CPOM","Chironomidae undet."
"CPOM","Hydropsyche siltalai"
"CPOM","Leuctra inermis"
"CPOM","Tanypodinae undet."
"FPOM","Amphinemura sulcicollis"
"FPOM","Annelidae undet."
"FPOM","Chironomidae undet."
"FPOM","Hydropsyche siltalai"
"FPOM","Leuctra inermis"
"FPOM","Siphlonurus armatus"
"FPOM","Tanypodinae undet."
