"node","M","N","category"
"CPOM",,,""
"FPOM",,,""
"Eunotia  exigua",1.91044127372439e-12,2067974310.87376,"producer"
"Eunotia rhomboidea",6.82005399611212e-13,210924209.091341,"producer"
"Eunotia vanheurckii",4.29017297610507e-12,862038071.93851,"producer"
"Eunotia incisa",1.99290752874042e-11,220094826.877919,"producer"
"Eunotia pectinalis",7.84605986497869e-11,357654093.676616,"producer"
"Brachysira brebissonii",3.42685623828501e-11,119218031.225539,"producer"
"Brachysira vitrea",1.91044127372439e-12,600675465.020991,"producer"
"Surirella linearis",1.73007423165454e-10,178827046.838309,"producer"
"Frustulia rhomboides var. saxonica",9.56092792103095e-11,59609015.6127699,"producer"
"Frustulia rhomboides var. viridula",5.35922607541101e-10,490628051.582026,"producer"
"Chironomidae undet.",0.0780902841246669,64.0000000000004,"invertebrate"
"Leuctra nigra",0.941248776757733,214.399999999999,"invertebrate"
"Nemoura cinerea",0.355365885914443,342.400000000003,"invertebrate"
"Plectrocnemia conspersa",2.81551037114513,51.1999999999999,"invertebrate"
"Simuliidae gra",0.1731706449536,6.4,"invertebrate"
"Simuliidae grb",0.183573703929365,83.1999999999992,"invertebrate"
"Simuliidae grc",0.224037670161325,3.2,"invertebrate"
"Siphonoperla torrentium",1.03837018228053,15.9999999999998,"invertebrate"
"Tanypodinae undet.",0.217279599239141,6.4,"invertebrate"
"Leuctra sp.",,,"invertebrate"
"Salmo trutta",50000.0000000001,0.0700000000000005,"vert.ecto"
