"resource","consumer"
"Chironomidae undet.","Siphonoperla torrentium"
"Leuctra nigra","Siphonoperla torrentium"
"Nemoura cinerea","Siphonoperla torrentium"
"Simuliidae gra","Siphonoperla torrentium"
"Simuliidae grb","Siphonoperla torrentium"
"Simuliidae grc","Siphonoperla torrentium"
"Siphonoperla torrentium","Siphonoperla torrentium"
"Tanypodinae undet.","Siphonoperla torrentium"
"Brachysira brebissonii","Chironomidae undet."
"Brachysira vitrea","Chironomidae undet."
"Eunotia  exigua","Chironomidae undet."
"Eunotia incisa","Chironomidae undet."
"Eunotia pectinalis","Chironomidae undet."
"Eunotia rhomboidea","Chironomidae undet."
"Eunotia vanheurckii","Chironomidae undet."
"Frustulia rhomboides var. saxonica","Chironomidae undet."
"Frustulia rhomboides var. viridula","Chironomidae undet."
"Surirella linearis","Chironomidae undet."
"Brachysira brebissonii","Leuctra nigra"
"Brachysira vitrea","Leuctra nigra"
"Eunotia  exigua","Leuctra nigra"
"Eunotia incisa","Leuctra nigra"
"Eunotia pectinalis","Leuctra nigra"
"Eunotia rhomboidea","Leuctra nigra"
"Eunotia vanheurckii","Leuctra nigra"
"Frustulia rhomboides var. saxonica","Leuctra nigra"
"Frustulia rhomboides var. viridula","Leuctra nigra"
"Surirella linearis","Leuctra nigra"
"Brachysira brebissonii","Nemoura cinerea"
"Brachysira vitrea","Nemoura cinerea"
"Eunotia  exigua","Nemoura cinerea"
"Eunotia incisa","Nemoura cinerea"
"Eunotia pectinalis","Nemoura cinerea"
"Eunotia rhomboidea","Nemoura cinerea"
"Eunotia vanheurckii","Nemoura cinerea"
"Frustulia rhomboides var. saxonica","Nemoura cinerea"
"Frustulia rhomboides var. viridula","Nemoura cinerea"
"Surirella linearis","Nemoura cinerea"
"Brachysira brebissonii","Plectrocnemia conspersa"
"Brachysira vitrea","Plectrocnemia conspersa"
"Chironomidae undet.","Plectrocnemia conspersa"
"Eunotia  exigua","Plectrocnemia conspersa"
"Eunotia incisa","Plectrocnemia conspersa"
"Eunotia pectinalis","Plectrocnemia conspersa"
"Eunotia rhomboidea","Plectrocnemia conspersa"
"Eunotia vanheurckii","Plectrocnemia conspersa"
"Frustulia rhomboides var. saxonica","Plectrocnemia conspersa"
"Frustulia rhomboides var. viridula","Plectrocnemia conspersa"
"Leuctra nigra","Plectrocnemia conspersa"
"Nemoura cinerea","Plectrocnemia conspersa"
"Plectrocnemia conspersa","Plectrocnemia conspersa"
"Simuliidae gra","Plectrocnemia conspersa"
"Simuliidae grb","Plectrocnemia conspersa"
"Simuliidae grc","Plectrocnemia conspersa"
"Siphonoperla torrentium","Plectrocnemia conspersa"
"Surirella linearis","Plectrocnemia conspersa"
"Tanypodinae undet.","Plectrocnemia conspersa"
"Chironomidae undet.","Salmo trutta"
"Leuctra nigra","Salmo trutta"
"Nemoura cinerea","Salmo trutta"
"Plectrocnemia conspersa","Salmo trutta"
"Salmo trutta","Salmo trutta"
"Simuliidae gra","Salmo trutta"
"Simuliidae grb","Salmo trutta"
"Simuliidae grc","Salmo trutta"
