Name,UFCO_2,HANF_1,FICO_1,WOCA_1,SCHO_1,EGSH_2,EGWA_2,EGSH_1,TWCA_2,SWCA_1,HOSP_2,HANF_2,TWCA_1,SCHO_2,HOSP_1,UFCO_1,NURH_1,EGWA_1,RWCO_1,RWCO_2,WOCA_2,NURH_2,RFSC_2,SWCA_2,RFSC_1,FICO_2
Aminoglycoside aadA1,0,0,1.27E-05,0,0,0,0.000116849,0,4.51E-06,0,0,0,0,0,0,0.000252014,0,8.75E-05,0,0.002604021,0,0,1.31E-05,0,0.000122255,0.000177638
Aminoglycoside aadA24,0,0,0,0,0,0,0.000169346,0,6.83E-06,0,0,0,0,0,0,0,0,0.000122828,0,0,0,0,0,0,0.000169579,0.000872964
Aminoglycoside aadA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000567871,0,0,0.002430526,0,0,0,0,0,0,0
Aminoglycoside ant9 Ia,0,0,0,0,0,0.000359624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aminoglycoside aph3' Ic,0,0,6.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279145
Aminoglycoside aph3' IIa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001102139,0,0,0,0,0,0,0,0,0,0
Aminoglycoside aph3' III,0,0,0,0,0,0.000741088,0.000941565,0.001050121,0,0,0,0,0,0,0,0,0,0.000473019,0,0,0,0,0,0,0,0
Aminoglycoside aph6 Id,0.003968203,0.000330118,0.0076807,0,0,0.001694747,0.010137069,0.00272718,0.000539201,0,0,0.000362551,0.003017152,0.000247975,0,0.018817015,0,0.004649172,0.006799854,0.010695088,0,0,0.000815475,0,0.014725775,0.065923971
Aminoglycoside sat 2A,0,0,0,0,0,0,0,0,4.25E-05,0,0,0,0.000169458,0,0,0,0,0,0,0,0,0,0,0,0,0
Aminoglycoside sat4A,0,0,0,0,0,1.46E-05,6.77E-06,2.61E-05,0,0,0,0,0,0,0,0,0,1.96E-06,0,0,0,0,0,0,0,0
Aminoglycoside strA,0,0,1.68E-05,0,0,0,0,0,2.87E-06,0,0,0,2.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000162412
Beta-lactam cfxA3,0,0,0,0,7.86E-05,0,0,0,0,0,0,0,0,3.46E-05,0,0,0,0,0,0,0,0,0,0,0,0
Beta-lactam Zn dependent hydrolase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001233702,0,0,0,0,0,0,0,0,0
Beta-lactam-resistance blaCARB 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013196
Beta-lactam-resistance blaCARB 8,0,0,2.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034005
Chloramphenicol-exporter floR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119561,0,0,0,0,0,0,0,0
Macrolide ermF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000409447,0,0,0,0,0,0,0,0,0,0,0,0
Macrolide lmrC,0,0,0,0,0.002526106,0,0,0,0,0,0,0,0,0.002154499,0,0,0.000821755,0,0,0,0,0.004472575,0,0,0,0
Macrolide lmrD,0,0.002005837,0,0,0.004979413,0,0,0,0,0,0,0.001772961,0,0.004154446,0,0,0.001730461,0,0,0,0,0.01006464,0,0,0,0
Macrolide lnuB,3.91E-05,0,0,0,0,0,0,4.18E-05,0,0,0,0,0,0,0,1.34E-05,0,1.76E-05,0,0,0,0,0,0,0,0
Macrolide lnuC,0.000570891,0,0,0,0,0.000532885,0.001578307,0.001381876,0,0,0,0,0,0,0,0.003195532,0,0.000653994,0.002908202,0.002808623,0,0,8.61E-05,0,0.001975794,0
Macrolide mefA,0,0,0,0,0.002850787,0.004343154,0.011593447,0.010556068,0,0,0,0,0,0,0,0,0,0.005780758,0,0,0,0,0,0,0,0
Macrolide mel,0,0,0,0,0.001003162,0.001345315,0.001815392,0.003150363,0,0,0,0,0,0.00128601,0,0,0,0.000946037,0,0,0,0,0,0,0,0
Macrolide msrD,0,0,0,0,0,0.000139773,0.001446217,0.000875101,0,0,0,0,0,0,0,0,0,0.000646807,0,0,0,0,0,0,0,0
MDR-Efflux-pump abeM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001344172,0,0,0,0,0.009994672,0,0,0,0
MDR-Efflux-pump abeS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253725,0,0,0,0,0.000769649,0,0,0,0
MDR-Efflux-pump adeF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001286443,0,0,0,0,0.004391843,0,0,0,0
MDR-Efflux-pump adeG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001912915,0,0,0,0,0.011964542,0,0,0,0
MDR-Efflux-pump adeH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000739081,0,0,0,0,0.005527479,0,0,0,0
MDR-Efflux-pump adeI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001726185,0,0,0,0,0.011081868,0,0,0,0
